Text,Sentiment
"Shope terpercaya, banyak promo murahh gratis ongkir.. Is the best",positive
Saya sangat senang belaja di shopee,positive
Barang di shopee bangus2 real pic pelayanan sangat ramah shopee is the best,positive
Puas belanja di shopee,positive
Aplikasi favorit belnja onlen,positive
selalu belanja di shopee...,positive
Alhamdulillah belanja di shopee mantap,positive
Shopee de besss dahh,positive
Sangat puas belanja d shopee selernya rama dapat chasbek gratis ongkir Terimakasih shopee????,positive
"Terimakasih shopee Semua di shopee bagaikan secepat kilat dan barang terjangkau bagi kami selaku penghobi barang perkakas kerja.karena kami bagian dari pekerja,senang berkreasi dalam dunia pekerjaan di tunjang alat2 kerja.i love shopee?????????????????????",positive
bagus banagttt tiada kata lain lagi,positive
Tambah lagi gratis ongkir nya,positive
"Shopee sangat membantu sekali, semua yang di butuhkan ada di shopee, shopee favorit banget",positive
Sangat bagus saya suka,positive
Good online shop.....,positive
"Pelanggan setia ,udh banyak barang aku trima dan semua nya menyenangkan makasih shopee Semoga menjadi aplikasi olshop pertama di indonesia",positive
Shopee ok banget,positive
Seneng..saran lbh banyak kin gratis ongkir..untuk pengguna pedagang online..keamanan ditingkatkan lagi,positive
belanja aman dan banyak promo,positive
Shopeepay joss ??,positive
"Okeh.. Makasih uddah respon buat gratis ongkir cod nya wlwpun kebanyakan bonus cuma buat pengguna shopee pay.. Saran saya biar lebih banyak kalangan yang pakai shopee, bonus cashback pun di berikan kepada pembeli dengan mode cod.. Terimakasih",positive
Belanja aman dan terpercaya. Mantul,positive
Top markotop,positive
Oke sangat mudah.dan membantu keinginan apapun bisa terwujut tidak perlu kemana2 cukup diam dirumah datang sendiri.shopi menurut saya seperti om jin..apa pun ke inginan saya terpenuhi??????,positive
semogaaa lancar jayaa,positive
Emang paling enak shoping online d shopee.. dapat gratis ongkir terus... Barang selalu sampai dengan aman.,positive
Belanja apa aja itu mudah kalau belanjanya di SHOPEE??????,positive
Suka bisa berlangganan di shopee.. tapi saldo shopeepayku di bekukan karena kemarin salah pin tolong dong di aktifkan lagii supaya saya bisa belanja lagii...,positive
Pengiriman cepat dan memuaskan,positive
Super duper mantul mah shopee harga murah banget banyak focher jg aku makin suka belanha di shopee,positive
"Belanja lebih mudah dtn shopee banyak kupon gratisannya lagi,,mantaplah",positive
"Trmksih shopee saya suka,pengiriman barang selalu cepat,barang tidak mengecewakan,,pokoknya the best buat shopee????????",positive
Shopee ist the best...,positive
Aplkasi yang sangat membantu disaat pandemi,positive
"Sangat membantu sekali buat nyari2 barang, banyak variasi dan bisa banding2 harga antar toko.. Apalagi sekarang jadi bisa ikut jualan juga.. suka sekali ????",positive
Mantap shopee ??,positive
"Luar biasa, barang aman"" semua",positive
Mantap,positive
Saya sangat puas belanja di shopee.. Alhamdulillah sejauh ini saya selalu mendapatkan yang terbaik,positive
Suka banget belanja disini?? barang yang saya beli hampir rata� realpict,positive
Good Aplication saya suka,positive
Shopee memang luar biasa,positive
Keren pokonya deh mantap,positive
aplikasi yang membantu,positive
mantap Tak Bisa dijelaskan dengan kata-kata pokoknya sukses selalu shopee.,positive
"Selalu suka deh sama shopee .. Belanja aman, murah dan terpercaya serta banyak gratis ongkir dan diskon cashback hehehe",positive
Shopee good !!!,positive
Mantap,positive
Banyak manfaat yang dapat diperoleh baik sebagai pembeli maupun penjual,positive
Good job,positive
Shopee emang the best banget Semua harga terjangkau,positive
Bagus banget terimakasih ,positive
Mantap..,positive
Tempat belanja yang sangat mudah,positive
Saya sangat menyukai shopping sesuai dengan barang dan harga,positive
Bagus pokoknya,positive
"Sangat memuaskan belanja di,shopee.yuk gaes ikutan belanja d shopee",positive
"Pokoknya saya puas belanja di shopee, sukses terus buat shopee",positive
Sangat membantu aplikasi ini...,positive
saya sk blnja di shopee ga perlu keluar rmh ttinggal pesen barang dateng??????????,positive
"Sangat bagus, barang�'a mudah didapatkan dan juga murah.. Bnyak diskon, bisa belanja sekarang dan bayar akhir bulan. Top lah number 1?? Thank shopeepaylater ??",positive
Mempermudah sayaa belanja online,positive
Mantap aplikasi ini sangat membantu pembelanjaan saya.. Terimakasih,positive
Aplikasinya sangat membantu??,positive
Shopee adalah yang terbaik,positive
Asyik banyak diskon di sini,positive
Belanja di shophie puas banget,positive
Bagus� cepat dan terpercaya,positive
"Belanja Puas Dengan Shopee,Barang Cepat Datang... Kualitas Barang, MANTAP",positive
Shopee suka gajelas kadang eror,positive
Saya suka banget belanja di shopee,positive
Sekarang lebih suka belanja di shopee karena promo free ongkirnya??,positive
Saya sangat suka belanja di shopy banyak diskon dan ada shopy pay later bisa di cicil,positive
Belanja paling mudah dan terpercaya??,positive
saya suka banget belanja di sini!!!,positive
